"CustomerKey";"Prefix";"FirstName";"LastName";"BirthDate";"MaritalStatus";"Gender";"EmailAddress";"AnnualIncome";"TotalChildren";"EducationLevel";"Occupation";"HomeOwner"
11000;"MR.";"JON";"YANG";"1966-04-08";"M";"M";"jon24@adventure-works.com";90000;2;"Bachelors";"Professional";"Y"
11001;"MR.";"EUGENE";"HUANG";"1965-05-14";"S";"M";"eugene10@adventure-works.com";60000;3;"Bachelors";"Professional";"N"
11002;"MR.";"RUBEN";"TORRES";"1965-08-12";"M";"M";"ruben35@adventure-works.com";60000;3;"Bachelors";"Professional";"Y"
11003;"MS.";"CHRISTY";"ZHU";"1968-02-15";"S";"F";"christy12@adventure-works.com";70000;0;"Bachelors";"Professional";"N"
11004;"MRS.";"ELIZABETH";"JOHNSON";"1968-08-08";"S";"F";"elizabeth5@adventure-works.com";80000;5;"Bachelors";"Professional";"Y"
11005;"MR.";"JULIO";"RUIZ";"1965-08-05";"S";"M";"julio1@adventure-works.com";70000;0;"Bachelors";"Professional";"Y"
11007;"MR.";"MARCO";"MEHTA";"1964-05-09";"M";"M";"marco14@adventure-works.com";60000;3;"Bachelors";"Professional";"Y"
11008;"MRS.";"ROBIN";"VERHOFF";"1964-07-07";"S";"F";"rob4@adventure-works.com";60000;4;"Bachelors";"Professional";"Y"
11009;"MR.";"SHANNON";"CARLSON";"1964-04-01";"S";"M";"shannon38@adventure-works.com";70000;0;"Bachelors";"Professional";"N"
11010;"MS.";"JACQUELYN";"SUAREZ";"1964-02-06";"S";"F";"jacquelyn20@adventure-works.com";70000;0;"Bachelors";"Professional";"N"
11011;"MR.";"CURTIS";"LU";"1963-11-04";"M";"M";"curtis9@adventure-works.com";60000;4;"Bachelors";"Professional";"Y"
11012;"MRS.";"LAUREN";"WALKER";"1968-01-18";"M";"F";"lauren41@adventure-works.com";100000;2;"Bachelors";"Management";"Y"
11013;"MR.";"IAN";"JENKINS";"1968-08-06";"M";"M";"ian47@adventure-works.com";100000;2;"Bachelors";"Management";"Y"
11014;"MRS.";"SYDNEY";"BENNETT";"1968-05-09";"S";"F";"sydney23@adventure-works.com";100000;3;"Bachelors";"Management";"N"
11015;"MS.";"CHLOE";"YOUNG";"1979-02-27";"S";"F";"chloe23@adventure-works.com";30000;0;"Partial College";"Skilled Manual";"N"
11016;"MR.";"WYATT";"HILL";"1979-04-28";"M";"M";"wyatt32@adventure-works.com";30000;0;"Partial College";"Skilled Manual";"Y"
11017;"MRS.";"SHANNON";"WANG";"1944-06-26";"S";"F";"shannon1@adventure-works.com";20000;4;"High School";"Skilled Manual";"Y"
11018;"MR.";"CLARENCE";"RAI";"1944-10-09";"S";"M";"clarence32@adventure-works.com";30000;2;"Partial College";"Clerical";"Y"
11019;"MR.";"LUKE";"LAL";"1978-03-07";"S";"M";"luke18@adventure-works.com";40000;0;"High School";"Skilled Manual";"N"
11020;"MR.";"JORDAN";"KING";"1978-09-20";"S";"M";"jordan73@adventure-works.com";40000;0;"High School";"Skilled Manual";"N"
11021;"MS.";"DESTINY";"WILSON";"1978-09-03";"S";"F";"destiny7@adventure-works.com";40000;0;"Partial College";"Skilled Manual";"N"
11022;"MR.";"ETHAN";"ZHANG";"1978-10-12";"M";"M";"ethan20@adventure-works.com";40000;0;"Partial College";"Skilled Manual";"Y"
11023;"MR.";"SETH";"EDWARDS";"1978-10-11";"M";"M";"seth46@adventure-works.com";40000;0;"Partial College";"Skilled Manual";"Y"
11024;"MR.";"RUSSELL";"XIE";"1978-09-17";"M";"M";"russell7@adventure-works.com";60000;0;"Partial College";"Skilled Manual";"Y"
11025;"";"ALEJANDRO";"BECK";"1945-12-23";"M";"NA";"alejandro45@adventure-works.com";10000;2;"Partial High School";"Clerical";"Y"
11026;"MR.";"HAROLD";"SAI";"1946-04-03";"S";"M";"harold3@adventure-works.com";30000;2;"Partial College";"Clerical";"N"
11027;"MR.";"JESSIE";"ZHAO";"1946-12-07";"M";"M";"jessie16@adventure-works.com";30000;2;"Partial College";"Clerical";"Y"
11028;"MRS.";"JILL";"JIMENEZ";"1946-04-11";"M";"F";"jill13@adventure-works.com";30000;2;"Partial College";"Clerical";"Y"
11029;"MR.";"JIMMY";"MORENO";"1946-12-21";"M";"M";"jimmy9@adventure-works.com";30000;2;"Partial College";"Clerical";"Y"
11030;"MRS.";"BETHANY";"YUAN";"1947-02-22";"M";"F";"bethany10@adventure-works.com";10000;2;"Partial High School";"Clerical";"Y"
11031;"MRS.";"THERESA";"RAMOS";"1947-08-22";"M";"F";"theresa13@adventure-works.com";20000;4;"High School";"Skilled Manual";"Y"
11032;"MRS.";"DENISE";"STONE";"1947-06-11";"M";"F";"denise10@adventure-works.com";20000;4;"High School";"Skilled Manual";"Y"
11033;"MR.";"JAIME";"NATH";"1947-09-23";"M";"M";"jaime41@adventure-works.com";20000;4;"High School";"Skilled Manual";"Y"
11034;"MRS.";"EBONY";"GONZALEZ";"1947-06-19";"M";"F";"ebony19@adventure-works.com";20000;4;"High School";"Skilled Manual";"Y"
11035;"";"WENDY";"DOMINGUEZ";"1948-02-24";"M";"NA";"wendy12@adventure-works.com";10000;2;"Partial High School";"Clerical";"Y"
11036;"MS.";"JENNIFER";"RUSSELL";"1978-12-18";"M";"F";"jennifer93@adventure-works.com";60000;0;"Partial College";"Skilled Manual";"Y"
11037;"MS.";"CHLOE";"GARCIA";"1977-11-27";"S";"F";"chloe27@adventure-works.com";40000;0;"Partial High School";"Clerical";"N"
11038;"MRS.";"DIANA";"HERNANDEZ";"1948-03-23";"M";"F";"diana2@adventure-works.com";10000;2;"Partial High School";"Clerical";"Y"
11039;"MR.";"MARC";"MARTIN";"1948-12-17";"M";"M";"marc3@adventure-works.com";30000;3;"Partial College";"Clerical";"Y"
11040;"MR.";"JESSE";"MURPHY";"1977-08-01";"M";"M";"jesse15@adventure-works.com";30000;0;"Partial College";"Skilled Manual";"Y"
11041;"MS.";"AMANDA";"CARTER";"1977-10-16";"M";"F";"amanda53@adventure-works.com";60000;0;"Partial College";"Skilled Manual";"Y"
11042;"MS.";"MEGAN";"SANCHEZ";"1977-06-13";"M";"F";"megan28@adventure-works.com";70000;0;"Partial College";"Skilled Manual";"Y"
